MODL,REPL,DIST,TREE,NL,I1,I2,FP,FN,RF
100M1,R0,K2P,NJ,100,97,97,65,65,0.670103
100M1,R0,K2P,BIONJ,100,97,97,75,75,0.773196
100M1,R0,LogDet,NJ,100,97,97,65,65,0.670103
100M1,R0,LogDet,BIONJ,100,97,97,75,75,0.773196
100M1,R1,K2P,NJ,100,97,97,77,77,0.793814
100M1,R1,K2P,BIONJ,100,97,97,81,81,0.835052
100M1,R1,LogDet,NJ,100,97,97,77,77,0.793814
100M1,R1,LogDet,BIONJ,100,97,97,81,81,0.835052
100M1,R2,K2P,NJ,100,97,97,78,78,0.804124
100M1,R2,K2P,BIONJ,100,97,97,81,81,0.835052
100M1,R2,LogDet,NJ,100,97,97,78,78,0.804124
100M1,R2,LogDet,BIONJ,100,97,97,81,81,0.835052
100M1,R3,K2P,NJ,100,96,97,76,75,0.778351
100M1,R3,K2P,BIONJ,100,96,97,79,78,0.809278
100M1,R3,LogDet,NJ,100,96,97,76,75,0.778351
100M1,R3,LogDet,BIONJ,100,96,97,79,78,0.809278
100M1,R4,K2P,NJ,100,96,97,75,74,0.768041
100M1,R4,K2P,BIONJ,100,96,97,72,71,0.737113
100M1,R4,LogDet,NJ,100,96,97,75,74,0.768041
100M1,R4,LogDet,BIONJ,100,96,97,72,71,0.737113
100M2,R0,K2P,NJ,100,97,97,61,61,0.628866
100M2,R0,K2P,BIONJ,100,97,97,63,63,0.649485
100M2,R0,LogDet,NJ,100,97,97,61,61,0.628866
100M2,R0,LogDet,BIONJ,100,97,97,63,63,0.649485
100M2,R1,K2P,NJ,100,96,97,50,49,0.510309
100M2,R1,K2P,BIONJ,100,96,97,51,50,0.520619
100M2,R1,LogDet,NJ,100,96,97,50,49,0.510309
100M2,R1,LogDet,BIONJ,100,96,97,51,50,0.520619
100M2,R2,K2P,NJ,100,96,97,51,50,0.520619
100M2,R2,K2P,BIONJ,100,96,97,51,50,0.520619
100M2,R2,LogDet,NJ,100,96,97,51,50,0.520619
100M2,R2,LogDet,BIONJ,100,96,97,51,50,0.520619
100M2,R3,K2P,NJ,100,97,97,59,59,0.608247
100M2,R3,K2P,BIONJ,100,97,97,62,62,0.639175
100M2,R3,LogDet,NJ,100,97,97,59,59,0.608247
100M2,R3,LogDet,BIONJ,100,97,97,62,62,0.639175
100M2,R4,K2P,NJ,100,97,97,76,76,0.783505
100M2,R4,K2P,BIONJ,100,97,97,80,80,0.824742
100M2,R4,LogDet,NJ,100,97,97,76,76,0.783505
100M2,R4,LogDet,BIONJ,100,97,97,80,80,0.824742
100M3,R0,K2P,NJ,100,97,97,25,25,0.257732
100M3,R0,K2P,BIONJ,100,97,97,25,25,0.257732
100M3,R0,LogDet,NJ,100,97,97,25,25,0.257732
100M3,R0,LogDet,BIONJ,100,97,97,25,25,0.257732
100M3,R1,K2P,NJ,100,95,97,30,28,0.298969
100M3,R1,K2P,BIONJ,100,95,97,30,28,0.298969
100M3,R1,LogDet,NJ,100,95,97,30,28,0.298969
100M3,R1,LogDet,BIONJ,100,95,97,30,28,0.298969
100M3,R2,K2P,NJ,100,97,97,31,31,0.319588
100M3,R2,K2P,BIONJ,100,97,97,33,33,0.340206
100M3,R2,LogDet,NJ,100,97,97,31,31,0.319588
100M3,R2,LogDet,BIONJ,100,97,97,33,33,0.340206
100M3,R3,K2P,NJ,100,97,97,49,49,0.505155
100M3,R3,K2P,BIONJ,100,97,97,50,50,0.515464
100M3,R3,LogDet,NJ,100,97,97,49,49,0.505155
100M3,R3,LogDet,BIONJ,100,97,97,50,50,0.515464
100M3,R4,K2P,NJ,100,96,97,35,34,0.355670
100M3,R4,K2P,BIONJ,100,96,97,38,37,0.386598
100M3,R4,LogDet,NJ,100,96,97,35,34,0.355670
100M3,R4,LogDet,BIONJ,100,96,97,38,37,0.386598
